epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.629,2.62633,5.08556,1.85259,0.00054,0.03333,0.00053,0.00021,2.44516,4.84626,1.72197,1e-05,1e-05,1e-05
2,28.231,2.58538,4.90004,1.82131,0.00054,0.03333,0.00052,0.00016,2.39817,4.83224,1.69507,2.9703e-05,2.9703e-05,2.9703e-05
3,41.2928,2.56418,4.85634,1.80062,0.00078,0.05,0.00106,0.00031,2.34577,4.773,1.63443,4.901e-05,4.901e-05,4.901e-05
4,54.8899,2.44923,4.68234,1.72297,0.00114,0.06667,0.00217,0.0004,2.26291,4.72884,1.57527,6.7921e-05,6.7921e-05,6.7921e-05
5,68.3298,2.22802,4.62056,1.51756,0.00067,0.05,0.00388,0.00045,2.22392,4.71043,1.52744,8.6436e-05,8.6436e-05,8.6436e-05
6,81.8503,2.33621,4.48264,1.58861,0.00084,0.06667,0.01067,0.00207,2.24047,4.65729,1.50975,0.000104555,0.000104555,0.000104555
7,95.1696,2.32895,4.46656,1.54563,0.00418,0.11111,0.02079,0.00663,2.14968,4.62492,1.45718,0.000122278,0.000122278,0.000122278
8,108.842,2.18974,4.21901,1.40681,0.00642,0.13889,0.025,0.01267,2.05151,4.59824,1.37661,0.000139605,0.000139605,0.000139605
9,122.57,2.02127,4.01152,1.35952,0.00611,0.13889,0.02563,0.0149,2.03956,4.58985,1.36497,0.000156536,0.000156536,0.000156536
10,136.27,2.11148,3.90036,1.39887,0.00709,0.16667,0.02928,0.01511,2.04429,4.55053,1.37073,0.000173071,0.000173071,0.000173071
11,149.755,1.97937,3.71297,1.38477,0.00569,0.16667,0.03311,0.01692,2.03788,4.53193,1.39269,0.00018921,0.00018921,0.00018921
12,163.184,1.99966,3.5243,1.37357,0.0048,0.15,0.05049,0.02011,2.05419,4.49461,1.43029,0.000204953,0.000204953,0.000204953
13,176.824,2.00469,3.41565,1.40885,0.00483,0.18333,0.07841,0.02533,2.06914,4.44275,1.42741,0.0002203,0.0002203,0.0002203
14,190.533,2.09684,3.21894,1.38137,0.00408,0.18333,0.08125,0.02715,2.05792,4.40504,1.4045,0.000235251,0.000235251,0.000235251
15,203.925,2.11269,3.09705,1.37842,0.00521,0.23889,0.10779,0.03957,2.01598,4.34386,1.38634,0.000249806,0.000249806,0.000249806
16,217.599,2.04935,2.86661,1.29569,0.00602,0.28333,0.11529,0.04741,1.95931,4.21495,1.34074,0.000263965,0.000263965,0.000263965
17,231.393,2.01665,2.81264,1.27356,0.00622,0.3,0.17553,0.06596,1.9157,4.12298,1.3039,0.000277728,0.000277728,0.000277728
18,245.293,2.03074,2.8379,1.36626,0.00587,0.3,0.18741,0.07617,1.90955,4.05473,1.28388,0.000291095,0.000291095,0.000291095
19,259.803,1.97834,2.68697,1.34412,0.00661,0.34048,0.19951,0.07437,1.92261,3.95284,1.32075,0.000304066,0.000304066,0.000304066
20,273.831,1.89712,2.59845,1.25893,0.00653,0.34048,0.22218,0.087,1.92252,3.89039,1.32094,0.000316641,0.000316641,0.000316641
21,290.462,1.94691,2.509,1.2431,0.00635,0.3127,0.2202,0.09434,1.89743,3.83697,1.32852,0.00032882,0.00032882,0.00032882
22,304.54,1.84855,2.39643,1.20803,0.00732,0.34048,0.24348,0.10464,1.93177,3.79764,1.3383,0.000340603,0.000340603,0.000340603
23,318.911,1.84506,2.29434,1.26345,0.00892,0.34603,0.23965,0.11055,1.94746,3.80217,1.3555,0.00035199,0.00035199,0.00035199
24,333.109,1.85091,2.34052,1.31304,0.01142,0.38122,0.25682,0.12707,1.96777,3.83812,1.37791,0.000362981,0.000362981,0.000362981
25,346.85,1.73399,2.062,1.20315,0.01504,0.42169,0.26902,0.12436,2.05403,3.87039,1.43516,0.000373576,0.000373576,0.000373576
26,360.644,1.80878,2.08526,1.2394,0.0147,0.40503,0.29392,0.13624,2.06795,3.84473,1.44265,0.000383775,0.000383775,0.000383775
27,374.49,1.75137,2.04741,1.26661,0.01113,0.39735,0.29096,0.13315,2.02911,3.76021,1.42142,0.000393578,0.000393578,0.000393578
28,388.356,1.73318,2.13755,1.20504,0.01113,0.39735,0.29096,0.13315,2.02911,3.76021,1.42142,0.000402985,0.000402985,0.000402985
29,401.834,1.71254,1.93822,1.18377,0.01184,0.43069,0.28426,0.14041,2.00203,3.714,1.39543,0.000411996,0.000411996,0.000411996
30,415.876,1.74593,2.04489,1.20418,0.91678,0.06354,0.2958,0.16223,1.96053,3.68252,1.39492,0.000420611,0.000420611,0.000420611
31,429.526,1.64276,1.91723,1.23139,0.91678,0.06354,0.2958,0.16223,1.96053,3.68252,1.39492,0.00042883,0.00042883,0.00042883
32,443.39,1.76134,2.04016,1.20448,0.82996,0.05326,0.31625,0.15898,1.88715,3.64794,1.3834,0.000436653,0.000436653,0.000436653
33,457.626,1.77401,2.22478,1.20323,0.84048,0.06104,0.30227,0.14317,1.91052,3.65141,1.40519,0.00044408,0.00044408,0.00044408
34,471.133,1.73205,2.1244,1.30601,0.84048,0.06104,0.30227,0.14317,1.91052,3.65141,1.40519,0.000451111,0.000451111,0.000451111
35,484.874,1.69288,1.94346,1.21835,0.87664,0.08889,0.28726,0.13994,2.03654,3.65043,1.51228,0.000457746,0.000457746,0.000457746
36,498.871,1.6995,1.90748,1.17357,0.92242,0.08889,0.29867,0.15381,2.02633,3.6129,1.49965,0.000463985,0.000463985,0.000463985
37,512.788,1.61886,1.9075,1.15808,0.92242,0.08889,0.29867,0.15381,2.02633,3.6129,1.49965,0.000469828,0.000469828,0.000469828
38,526.598,1.76322,1.98887,1.22781,0.94241,0.08541,0.32598,0.16935,1.9394,3.53212,1.413,0.000475275,0.000475275,0.000475275
39,540.369,1.66771,1.87275,1.19927,0.88574,0.09024,0.35735,0.18842,1.91164,3.46678,1.37071,0.000480326,0.000480326,0.000480326
40,554.244,1.59689,1.73162,1.17562,0.88574,0.09024,0.35735,0.18842,1.91164,3.46678,1.37071,0.000484981,0.000484981,0.000484981
41,568.342,1.56437,1.79599,1.15492,1,0.12709,0.39244,0.20361,1.98451,3.40655,1.40591,0.00048924,0.00048924,0.00048924
42,582.232,1.62667,1.78496,1.13796,1,0.17992,0.42211,0.19387,2.01471,3.38052,1.44568,0.000493103,0.000493103,0.000493103
43,596.212,1.62688,1.75055,1.176,1,0.17992,0.42211,0.19387,2.01471,3.38052,1.44568,0.00049657,0.00049657,0.00049657
44,609.963,1.63034,1.67142,1.14269,0.92692,0.21103,0.41184,0.18238,2.06998,3.35807,1.52318,0.000499641,0.000499641,0.000499641
45,624.322,1.49805,1.66421,1.16301,0.92692,0.21103,0.41184,0.18238,2.06998,3.35807,1.52318,0.000502316,0.000502316,0.000502316
46,638.403,1.58285,1.63691,1.17927,0.91494,0.25639,0.39905,0.18311,2.09005,3.27053,1.50267,0.000504595,0.000504595,0.000504595
47,652.349,1.72764,1.70596,1.16699,0.91494,0.25639,0.39905,0.18311,2.09005,3.27053,1.50267,0.000506478,0.000506478,0.000506478
48,667.833,1.56735,1.56593,1.13173,0.89332,0.30682,0.46515,0.2205,2.00096,3.06636,1.40575,0.000507965,0.000507965,0.000507965
49,684.877,1.40505,1.5182,1.09278,0.89332,0.30682,0.46515,0.2205,2.00096,3.06636,1.40575,0.000509056,0.000509056,0.000509056
50,701.613,1.54099,1.58627,1.0813,0.75747,0.33152,0.45594,0.23631,1.95051,2.86186,1.30813,0.000509751,0.000509751,0.000509751
51,720.72,1.5245,1.59292,1.13667,0.75747,0.33152,0.45594,0.23631,1.95051,2.86186,1.30813,0.000505,0.000505,0.000505
52,736.679,1.54857,1.62926,1.1176,0.73713,0.38026,0.45235,0.23492,1.92763,2.69412,1.29157,0.0004951,0.0004951,0.0004951
